Player,Team,Pos,Age,G,FG,FGA,FG%,3P,3PA,3P%,2P%,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PTS
A.J. Green,MIL,SG,24.0,46.0,1.5,3.6,0.424,1.2,3.0,0.414,0.485,0.948,0.2,1.0,1.2,0.6,0.2,0.0,0.2,4.4
A.J. Lawson,"DAL, 2TM, MIN",SG,22.0,18.0,1.3,2.5,0.608,0.4,1.2,0.265,0.705,0.288,0.3,1.0,1.2,0.2,0.1,0.0,0.2,3.2
AJ Griffin,ATL,SF,20.0,46.0,2.2,5.2,0.378,1.0,2.8,0.323,0.442,0.947,0.3,1.2,1.5,0.6,0.4,0.2,0.5,5.6
Aaron Gordon,"ORL, 2TM, DEN",PF,26.0,53.0,5.2,10.3,0.507,1.0,3.1,0.325,0.578,0.666,1.8,4.1,6.0,3.1,0.7,0.7,1.7,13.7
Aaron Henry,PHI,SF,22.0,6.0,0.2,0.8,0.2,0.0,0.2,0.0,0.25,0.0,0.0,0.2,0.2,0.0,0.0,0.3,0.3,0.3
Aaron Holiday,"ATL, HOU, WAS, 2TM, IND, PHO",PG,25.0,56.0,2.3,5.3,0.43,0.8,2.0,0.388,0.456,0.865,0.4,1.3,1.7,2.1,0.6,0.1,1.0,6.1
Aaron Nesmith,"BOS, IND",SF,22.0,61.0,2.8,6.1,0.439,1.2,3.4,0.356,0.558,0.803,0.6,2.4,3.0,0.9,0.6,0.4,0.8,7.7
Aaron Wiggins,OKC,SG,24.0,66.0,2.8,5.6,0.512,0.8,2.0,0.396,0.581,0.783,0.9,2.0,3.0,1.2,0.6,0.2,0.9,7.3
Abdel Nader,PHO,SF,28.0,19.0,1.6,3.6,0.417,0.6,1.4,0.352,0.458,0.678,0.3,2.0,2.2,0.6,0.5,0.4,0.8,4.6
Adam Flagler,OKC,SG,24.0,2.0,0.5,3.5,0.143,0.5,3.0,0.167,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5
Adam Mokoka,CHI,SG,22.0,14.0,0.5,1.4,0.368,0.1,0.7,0.1,0.667,0.0,0.1,0.3,0.4,0.4,0.1,0.1,0.4,1.1
Adama Sanogo,CHI,PF,21.0,9.0,1.6,3.0,0.519,0.0,0.0,0.0,0.519,0.667,2.1,1.9,4.0,0.0,0.1,0.0,0.6,4.0
Ade Murkey,SAC,SG,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,ORL,"PF, SF",25.0,33.0,1.1,2.6,0.418,0.5,1.6,0.343,0.535,0.571,0.4,1.2,1.6,0.6,0.1,0.1,0.4,3.0
Ahmad Caver,IND,SG,25.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Al Horford,"OKC, BOS",C,36.0,56.0,4.2,8.8,0.476,1.8,4.6,0.392,0.572,0.81,1.3,5.5,6.8,3.1,0.7,1.0,0.8,10.7
Al-Farouq Aminu,"ORL, 2TM, CHI",PF,30.0,15.0,1.4,3.7,0.329,0.3,1.5,0.203,0.411,0.814,0.8,3.6,4.5,1.1,0.7,0.3,1.1,3.8
Alec Burks,"2TM, NYK, DET",SG,31.0,52.0,3.5,8.9,0.386,1.9,4.8,0.385,0.386,0.832,0.4,2.8,3.2,1.9,0.6,0.2,0.9,11.1
Aleem Ford,ORL,SF,24.0,5.0,1.2,4.0,0.3,0.4,3.0,0.133,0.8,0.0,0.4,2.6,3.0,0.4,0.2,0.0,0.8,2.8
Aleksej Pokusevski,"CHO, OKC, 2TM",PF,21.0,33.0,2.3,5.9,0.378,0.8,2.7,0.301,0.455,0.676,0.8,3.1,3.9,1.6,0.5,0.7,1.2,6.3
Alen Smailagić,GSW,PF,20.0,15.0,0.7,1.8,0.407,0.3,0.7,0.4,0.412,0.333,0.4,0.7,1.1,0.3,0.2,0.3,0.3,1.9
