Player,Age,Team,Pos,G,FG,FGA,FG%,3P,3PA,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season
Joel Embiid,29.0,PHI,C,39.0,11.5,21.8,0.529,1.4,3.6,0.388,0.556,0.883,2.4,8.6,11.0,5.6,1.2,1.7,3.8,34.7,2023-24
Luka Dončić,24.0,DAL,PG,70.0,11.5,23.6,0.487,4.1,10.6,0.382,0.573,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4.0,33.9,2023-24
Giannis Antetokounmpo,29.0,MIL,PF,73.0,11.5,18.8,0.611,0.5,1.7,0.274,0.645,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,30.4,2023-24
Shai Gilgeous-Alexander,25.0,OKC,PG,75.0,10.6,19.8,0.535,1.3,3.6,0.353,0.576,0.874,0.9,4.7,5.5,6.2,2.0,0.9,2.2,30.1,2023-24
Jalen Brunson,27.0,NYK,PG,77.0,10.3,21.4,0.479,2.7,6.8,0.401,0.516,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,28.7,2023-24
Devin Booker,27.0,PHO,PG,68.0,9.4,19.2,0.492,2.2,6.1,0.364,0.552,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,27.1,2023-24
Kevin Durant,35.0,PHO,PF,75.0,10.0,19.1,0.523,2.2,5.4,0.413,0.567,0.856,0.5,6.1,6.6,5.0,0.9,1.2,3.3,27.1,2023-24
Jayson Tatum,25.0,BOS,PF,74.0,9.1,19.3,0.471,3.1,8.2,0.376,0.542,0.833,0.9,7.2,8.1,4.9,1.0,0.6,2.5,26.9,2023-24
De'Aaron Fox,26.0,SAC,PG,74.0,9.7,20.9,0.465,2.9,7.8,0.369,0.522,0.738,0.9,3.7,4.6,5.6,2.0,0.4,2.6,26.6,2023-24
Donovan Mitchell,27.0,CLE,SG,55.0,9.1,19.8,0.462,3.3,9.0,0.368,0.539,0.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,26.6,2023-24
Stephen Curry,35.0,GSW,PG,74.0,8.8,19.5,0.45,4.8,11.8,0.408,0.515,0.923,0.5,4.0,4.5,5.1,0.7,0.4,2.8,26.4,2023-24
Nikola Jokić,28.0,DEN,C,79.0,10.4,17.9,0.583,1.1,2.9,0.359,0.626,0.817,2.8,9.5,12.4,9.0,1.4,0.9,3.0,26.4,2023-24
Anthony Edwards,22.0,MIN,SG,79.0,9.1,19.7,0.461,2.4,6.7,0.357,0.515,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,25.9,2023-24
Tyrese Maxey,23.0,PHI,PG,70.0,9.1,20.3,0.45,3.0,8.1,0.373,0.501,0.868,0.5,3.2,3.7,6.2,1.0,0.5,1.7,25.9,2023-24
